model_name,usgs_num
Stillwater Ni-Cu,1
Bushveld Fe-Ti-V,3
Mafic Cu-Ni association,5
Alaskan Cr-Pt (PGE),9
Carbonatite,10
Alkaline complexes,11
Diamond-bearing kimberlite pipes,12
Pegmatites,13
W pegmatite,15
Climax Mo,16
Porphyry Cu,17
Porphyry Cu (North America),17
Epithermal veins,22
Basaltic Cu (BC name is Volcanic redbed Cu),23
Disseminated epithermal mercury antomony,27
Plutonic porphyry Au,43
Alkaline margin fluorite,11b
Alkaline complex associated zircon,11c
Thorium-rare-earth veins,11d
Be-Li pegmatites,13a
Nb-Ta pegmatites,13c
Feldspar contained in pegmatites,13e
Mica pegmatites,13f
Quartz veins contained in pegmatites,13g
Complex/zoned pegmatites,13h
W skarn,14a
Sn skarn,14b
Replacement Sn,14c
W veins,15a
Sn veins,15b
Sn greisen,15c
Placer Au,17a
"Porphyry Cu, skarn-related",18a
Skarn Cu,18b
Skarn Zn-Pb,18c
Skarn Fe,18d
Skarn Au,18f
Skarn wollastonite,18g
Carbonate-hosted magnesite-talc,18i
Amorphous graphite,18k
Replacement magnesite,18l
Polymetallic replacement,19a
Polymetallic replacement + skarn Zn-Pb,19a + 18c
Replacement Mn,19b
Distal disseminated Ag-Au,19c
Porphyry Sn,20a
Sn-polymetallic vein,20b
Porphyry Cu-Au,20c
Porphyry Cu-Mo,21a
"Porphyry Mo, low-F",21b
Porphyry W,21c
Volcanic-hosted Cu-As-Sb,22a
Alkaline Au-Te (Au-Ag-Te veins),22b
Polymetallic veins,22c
"Massive sulfide, Cyprus",24a
"Massive sulfide, Besshi (Japanese deposits)",24b
"Massive sulfide, Besshi",24b.1
Volcanogenic Mn,24c
"Volcanogenic Mn, Franciscan",24c.1
"Volcanogenic Mn, Cuban",24c.2
"Volcanogenic Mn, Olympic Peninsula",24c.3
Blackbird Co-Cu,24d
Hot-spring Au-Ag,25a
"Epithermal vein, generic",25a-d
"Epithermal vein, Creede",25b
"Epithermal vein, Comstock",25c
"Epithermal vein, quartz adularia",25c + 25d
"Epithermal vein, Sado",25d
Epithermal quartz-alunite Au,25e
Volcanogenic U,25f
Epithermal Mn,25g
Rhyolite-hosted Sn,25h
Volcanic-hosted magnetite,25i
Perlite,25ka
Pumice scoria-volcanic cinders,25kb
Scoria-volcanic cinders,25kc
Hydrothermal kaolin,25l.2
Lithium in smectites of closed basins,25lc
Fumarolic sulfur,25m
Sedimentary zeolites: Zeolites in tuffs of open hydrologic systems (BC,25oa
"Sedimentary zeolites: Zeolites in tuffs of saline, alkaline-lake depos",25ob
Carbonate-hosted Au-Ag,26a
Sediment-hosted Au,26a.1
Fluorspar deposits (fluorite veins),26b
Barite-fluorite veins,26c
Hot-spring Hg,27a
Almaden Hg,27b
Silica-carbonate Hg,27c
"Simple Sb (veins, pods, etc)",27d
Disseminated Sb,27e
"Massive sulfide, kuroko",28a
"Massive sulfide, kuroko, (Precambrian)",28a
"Massive sulfide, kuroko (Phanerozoic)",28a
"Massive sulfide, Sierran kuroko",28a.1
Algoma Fe,28b
Sedimentary bentonite,28e
Quartz pebble conglomerate Au-U (BC name is Paleoplacer U-Au-PGE-Sn-Ti,29a
Olympic Dam Cu-U-Au,29b
Bushveld Cr,2a
Merensky Reef PGE,2b
Sandstone-hosted Pb-Zn,30a
Sediment-hosted Cu,30b
Sandstone U,30c
Dimension stone - sandstone,30d
High-grade silica deposits,30e
Sedimentary exhalative Zn-Pb,31a
Bedded barite,31b
Sedimentary kaolin,31k
Fire clay,31k.2
Lacustrine diatomite,31s
"Mississippi Valley, S.E. Missouri Pb-Zn",32a
"Mississippi Valley, updated",32a
"Mississippi valley, without Missouri",32a
"Mississippi Valley, minor",32a + 32b
"Mississippi Valley, Appalachian Zn",32b
Kipushi Cu-Pb-Zn (BC name is Carbonate-hosted Cu),32c
Carbonate-hosted epigenetic barite,32f
Limestone,32g
Manto fluorite,32m
Superior Fe (BC name is Lake Superior & Rapitan types iron-formation),34a
Sedimentary Mn,34b
"Phosphate, upwelling type",34c
"Phosphate, warm current type",34d
Oolitic ironstones,34f
Bedded celestite,35a.1
Potash-bearing bedded salt,35a.2 (35ab)
Bedded salt: marine evaporite salt,35a.3 (35ac)
Salt domes: diapiric salt structures,35a.4 (35ad)
Bedded gypsum: marine evaporite gypsum,35a.5 (35ae)
Salt-dome gypsum,35a.6 (35af)
Salt-dome sulfur,35a.7 (35ag)
Stratabound sulfur,35a.8
Evaporite (playa),35b
Sodium carbonate in bedded lacustrine evaporites: Green River,35b.1 (35ba)
Lithium-rich playa brines,35b.13 (35bm)
Sodium carbonate brines,35b.21
Lacustrine borates,35b.3
Lacustrine gypsum,35b.4 (35b.9)
Lacustrine halite,35b.5
Travertine,35d
Low-sulfide Au-quartz vein,36a
"Low-sulfide Au-quartz vein, Chugach-type ",36a.1
Homestake Au,36b
Au-Sb vein,36c
Unconformity U-Au,37a
Gold on flat faults,37b
Gneiss-hosted kyanite Au,37c
Gneiss-hosted epithermal Au,37d
Disseminated flake graphite,37f
Lateritic Ni,38a
"Bauxite, laterite type",38b
"Bauxite, karst type",38c
Residual fluorite,38d
Residual andalusite,38e
Residual barite,38f
Residual kaolin,38h
Placer Au-PGE,39a
Placer PGE-Au,39b
Shoreline placer Ti,39c
Diamond placer,39d
Alluvial placer Sn,39e
Placer garnet,39g
Silica sand,39i
Detachment-fault-related polymetallic Cu-Au-Ag-Pb-Zn deposits,40a
Duluth Cu-Ni-PGE,5a
Noril'sk Cu-Ni-PGE,5b
Komatiitic Ni-Cu,6a
Dunitic Ni-Cu,6b
Synorogenic-synvolcanic Ni-Cu,7a
Anorthosite Ti,7b
Podiform chromite (minor),8a
Podiform chromite (major),8b
Limassol Forest Co-Ni,8c
Serpentine-hosted asbestos,8d
Serpentinite-hosted magnesite,8e
Ultramafic hosted magnesite,8f
Ultramafic hosted talc,8g
Spor Mountain Be-F-U deposits,Unassigned
Volcanogenic massive sulfide deposits in differentiated volcanic rocks,Unassigned
Native Cu,Unassigned
Peraluminous granite porphyry,Unassigned
"Uranium provinces of North America (definition, distribution, models)",Unassigned
"Sediment-hosted Cu, Revett",Unassigned
"Sediment-hosted Cu, reduced-facies (modified)",Unassigned
"Sediment-hosted Cu, reduced-facies",Unassigned
"Sediment-hosted Cu, reduced-facies ",Unassigned
"Sediment-hosted Cu, red-bed",Unassigned
Bedded sodium carbonate,Unassigned
"Stratabound Precambrian sulfide, Colorado and Wyoming",Unassigned
"Low-sulfide Au-quartz, Archean",Unassigned
Homestake stratiform Au,Unassigned
Conduit-type Ni-Cu massive sulfide,Unassigned
"Karst-hosted Fe, Al, Pb-Zn",
Sand and Gravel,
